Тип имот;Брой Стаи;Вход;Етаж;Номер;Двор;Жилищна  Площ;Общи       части;Застроена площ;Стара     Цена;Нова           Цена;Обзавеждане
Апартамент;1;4;1;К2;;40.45;6.52;46.97;900;42273;Необзаведен
Апартамент;3;4;1;К3;;61.39;9.89;71.28;850;60588;Необзаведен
Апартамент;1;4;1;К4;;30.85;4.97;35.82;850;30447;Необзаведен
Апартамент;2;4;1;J 5;;54.58;8.79;63.37;850;53864.5;Необзаведен
Апартамент;2;4;1;J 9;;54.5;8.78;63.28;900;56952;Необзаведен
Апартамент;1;5;4;L18;;49.71;8.03;57.74;900;51966;Необзаведен
Апартамент;2;6;1;А7;;59.97;11.13337037;71.10337037;849.9999999;60437.86481;Необзаведен
Апартамент;1;6;1;А8;;30.79;5.716132626;36.50613263;849.9999998;31030.21273;Необзаведен
Апартамент;1;6;1;В1;;28.91;5.367112511;34.27711251;849.9999999;29135.54563;Необзаведен
Апартамент;1;6;1;В4;;32.95;6.11713446;39.06713446;850;33207.06429;Необзаведен
Апартамент;1;6;1;В6;;37.35;6.933990048;44.28399005;849.9999999;37641.39154;Необзаведен
Апартамент;1;6;1;В8;;30.79;5.716132626;36.50613263;849.9999998;31030.21273;Необзаведен
Апартамент;2;7;3;В24;;48.11;7.86;55.97;850;47574.5;Необзаведен
Апартамент;2;7;4;В25;;45.78;7.48;53.26;850;45271;Необзаведен
Апартамент;1;7;4;В26;;32.33;5.28;37.61;850;31968.5;Необзаведен
Апартамент;1;7;4;В27;;26.46;4.33;30.79;850;26171.5;Необзаведен
Апартамент;2;7;4;В32;;48.11;7.86;55.97;850;47574.5;Необзаведен
Апартамент;2;7;5;В33;;45.78;7.48;53.26;850;45271;Необзаведен
Апартамент;2;7;5;В40;;48.11;7.86;55.97;850;47574.5;Необзаведен
Апартамент;3;7;6;В44;;59.01;9.65;68.66;850;58361;Необзаведен
Апартамент;2;9;2;А1;;52.23;10.64722606;62.87722606;900.0397051;56592;Необзаведен
Апартамент;2;9;2;А4;;52.23;10.64722606;62.87722606;800.0352934;50304;Необзаведен
Апартамент;2;9;3;А7;;51.29;10.45560453;61.74560453;800.0569494;49400;Необзаведен
Апартамент;2;9;3;А8;;50.54;10.30271501;60.84271501;799.9643013;48672;Необзаведен
Апартамент;1;10;1;А1;;28.25;4.538867739;32.78886774;850;27870.53758;Необзаведен
Апартамент;3;10;1;А2;;59.67;9.587052671;69.25705267;850;58868.49477;Необзаведен
Апартамент;3;10;1;А3;;59.67;9.587052671;69.25705267;900;62331.3474;Необзаведен
Апартамент;2;10;1;А4;;49.98;8.03018087;58.01018087;899.9999999;52209.16278;Необзаведен
Апартамент;2;10;1;А5;;50;8.033394228;58.03339423;899.9999999;52230.0548;Необзаведен
Апартамент;2;10;1;А6;;54.09;8.690525875;62.78052588;900;56502.47329;Необзаведен
Апартамент;1;10;1;А7;;36.59;5.878837896;42.4688379;849.9999999;36098.51221;Необзаведен
Апартамент;2;10;2;А8;;50.68;8.142648389;58.82264839;850;49999.25113;Необзаведен
